feature,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/30/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024,12/31/2024,03/31/2025,06/30/2025,09/30/2025
RIADF552_qoq,100.0,3318.181818181818,61.170212765957444,12.541254125412541,-76.68621700879766,32.70440251572327,20.85308056872038,-34.11764705882353,-63.69047619047619,-108.19672131147541,-4440.0,40.08810572687225,231.61764705882354,177.6536312849162,14.486921529175051,69.24428822495607,-78.50467289719626,159.90338164251207,74.1635687732342,38.63393810032017,-80.60046189376443,88.88888888888889,29.20168067226891,-13.333333333333334,-90.99437148217636,318.75,-55.72139303482587,-144.9438202247191,102.49999999999999,700.0,112.5,-135.29411764705884,400.0,61.111111111111114,24.137931034482758,2.7777777777777777,-97.2972972972973,800.0,44.44444444444444,-292.30769230769226,88.0,-400.0,-40.0,28.57142857142857,100.0,-100.0,-300.0,-50.0,666.6666666666667,-2.941176470588235,3.0303030303030303,-11.76470588235294,-106.66666666666667,-200.0,-183.33333333333331,-58.82352941176471,107.40740740740742,-200.0,0.0,50.0,700.0,-50.0,100.0,0.0,-150.0,-233.33333333333334,-20.0
RIADC886_qoq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-50.0,0.0,0.0,0.0,-100.0,100.0,100.0,0.0,-100.0,0.0,100.0,31.060606060606062,-61.849710982658955,59.09090909090909,58.0952380952381,25.301204819277107,-74.51923076923077,107.54716981132076,22.727272727272727,19.25925925925926,-73.91304347826086,116.66666666666667,50.54945054945055,41.605839416058394,-85.05154639175258,324.13793103448273,42.27642276422765
RIAD8431_qoq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0,100.0,50.0,33.33333333333333,-75.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
RCON5510_qoq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.57142857142857,33.33333333333333,-83.33333333333334,400.0,-60.0,0.0,0.0,50.0,-16.666666666666664,100.0,-60.0,50.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCONF049_qoq,53.83669454008854,-10.754063415933919,12.115602794530364,-10.769066893907116,-1.6175241733317418,1.085967360310623,-6.5298283519385425,-7.19147296776679,-2.4975785249757854,3.0937344781097,11.005575056782986,18.551587301587304,20.47071129707113,20.560909959190763,10.75981274756932,9.460953247935496,2.1771414993465603,-1.1801982500508705,-2.697455508162965,-7.152790374266885,-0.08465746288095857,5.673597080101675,3.6697813550436367,6.461016747478954,8.513789153091732,5.615923370069008,4.4128044469366365,4.1072220795292695,8.46229758220069,25.32930788477843,-3.1711985216473075,-5.393109089050199,-2.9160137605590677,-1.5750807020147675,2.6237913030365863,7.451556616769217,7.351885405627158,5.937614445169817,0.6027174893284435,-1.3311819281968535,3.303958087277793,5.383735928705441,9.309150590427974,4.213004199007507,7.2233550261901565,12.921188380381931,-3.735226493485539,-4.756966268594176,0.6423299860315226,7.884987377463035,7.959034826475415,5.583861130659161,6.2163411122762735,12.211243212489856,3.0003877240597694,-4.102359924714058,3.486748243038204,20.190820762699502,-1.8018838152113223,8.874989956922926,4.7183574303344065,1.5281203415096896,5.530342669813234,-2.8362981401655434,7.435718525769867,3.8046586469955312,3.1628193635141195
RCONA566_qoq,2.380952380952381,-4.651162790697675,-12.195121951219512,58.333333333333336,36.84210526315789,39.743589743589745,72.47706422018348,-1.0638297872340425,-7.526881720430108,-2.3255813953488373,20.238095238095237,-3.9603960396039604,-14.432989690721648,16.867469879518072,-19.072164948453608,15.286624203821656,11.602209944751381,2.4752475247524752,-5.314009661835748,20.408163265306122,9.745762711864407,14.671814671814673,39.05723905723906,22.760290556900724,14.003944773175542,16.43598615916955,-5.794947994056463,18.454258675078865,17.177097203728362,-3.6363636363636362,12.735849056603774,-76.0460251046025,379.91266375545854,11.828935395814376,15.134255492270137,-13.074204946996467,-5.121951219512195,-2.056555269922879,-2.2747156605424323,0.08952551477170993,-0.8050089445438283,7.664562669071236,7.45393634840871,5.533904910366329,0.29542097488921715,-3.0927835051546393,5.243161094224924,-6.4981949458483745,2.7799227799227797,-20.36063110443276,4.811320754716982,-14.941494149414941,-7.936507936507936,4.597701149425287,12.197802197802197,4.3095004897159646,4.037558685446009,6.407942238267148,10.178117048346055,18.090839107005387,6.844850065189048,12.507626601586333,13.6117136659436,16.706443914081145,12.106339468302659,4.3049981758482305,7.135362014690451
RIADC232_qoq,-100.0,100.0,0.0,100.0,-50.0,0.0,100.0,50.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,66.66666666666666,-80.0,200.0,33.33333333333333,50.0,-83.33333333333334,100.0,100.0,25.0,-80.0,100.0,100.0,25.0,-80.0,100.0,0.0,0.0,200.0,0.0,0.0,0.0,-83.33333333333334,1800.0,115.78947368421053,41.46341463414634,-70.6896551724138,100.0,1538.235294117647,0.5385996409335727,-99.64285714285714,150.0,1460.0,0.0,-100.0,0.0,0.0
RIAD4461_qoq,120.2020202020202,-100.0,100.0,-25.0,-54.166666666666664,90.9090909090909,42.857142857142854,-100.0,100.0,88.88888888888889,52.94117647058824,34.61538461538461,-77.14285714285715,100.0,43.75,804.3478260869565,-100.0,0.0,100.0,129.16666666666669,-20.0,86.36363636363636,19.51219512195122,52.04081632653062,-79.19463087248322,187.09677419354838,69.66292134831461,58.27814569536424,-29.707112970711297,-45.23809523809524,108.69565217391303,25.520833333333332,-70.53941908713693,139.43661971830986,42.94117647058823,85.59670781893004,-74.72283813747228,215.78947368421052,11.11111111111111,66.75,-84.8575712143928,94.05940594059405,69.89795918367348,27.627627627627625,10.588235294117647,37.659574468085104,31.375579598145286,8.352941176470589,-78.06731813246472,64.35643564356435,64.1566265060241,30.275229357798167,-48.59154929577465,113.42465753424658,-2.6957637997432604,11.081794195250659,-78.02850356294537,105.40540540540539,69.47368421052632,25.77639751552795,-71.48148148148148,138.96103896103895,49.45652173913043,25.696969696969695,-74.63837994214079,85.17110266159695,51.54004106776181
RIAD4301_qoq,583.2929782082324,38.276553106212425,15.760869565217392,36.49452269170579,-82.68745700527403,81.98675496688742,31.950509461426492,-8.549365692222835,-71.5319662243667,127.7542372881356,73.20930232558139,21.267454350161117,-64.96899911426041,43.48925410872314,52.59911894273128,36.37413394919168,-72.94665537679931,107.04225352112675,28.72260015117158,37.522019964768056,-75.7472245943638,92.25352112676056,50.73260073260073,36.87727825030377,-76.2982689747004,112.92134831460675,66.31486367634125,30.354309888947643,-79.67545638945234,113.57285429141717,50.467289719626166,34.223602484472046,-75.93706617306802,114.42307692307692,49.68609865470852,41.04254044337927,-67.79949022939678,79.81530343007915,46.58840792369773,36.23623623623624,-79.94121969140338,93.77289377289377,39.31947069943289,41.2483039348711,-83.42939481268012,-44.34782608695652,346.35416666666663,33.488914819136525,3.4965034965034967,69.42567567567568,67.54735792622134,32.6390955072895,-71.4894571556752,71.67584579071598,54.12465627864344,34.28486470413322,-49.977856510186,72.42142540947322,55.866495507060336,25.926535990775818,-59.13669064748201,89.9167733674776,32.698466205966625,33.202083068715865,-70.41098502908363,89.7840799226555,51.84241806758363
RCON3387_qoq,131.80212014134275,-41.70731707317073,-33.68200836820084,-24.526813880126184,-4.38871473354232,-1.9672131147540985,-2.0066889632107023,0.3412969283276451,-15.419501133786847,9.383378016085791,13.357843137254902,6.8108108108108105,311.2348178137652,0.24612355402412012,13.82273508470415,-0.7333908541846419,3.172533681008257,14.721988205560235,15.25610427758399,11.707550175215037,25.72365606730358,9.06203924237269,-4.159733777038269,9.59201388888889,9.613861386138614,11.959172613133411,8.72125857200484,2.84208964084298,5.260119777761743,3.2149712092130516,-4.217307564587899,-0.2842878934960477,-5.660246158125305,-2.859880592614432,4.947264587601487,1.4243366350950764,2.7159965782720277,11.596918592546325,3.1654228855721396,1.211646271625776,2.370458606313282,-4.305329299511286,-0.3465466926070039,2.361051796717711,11.55084038622005,76.11134857875615,-26.573829677497653,-23.465002892322946,-9.534092749554608,-7.6803723816912335,7.4854557207498384,30.15997113302863,9.836898766344776,20.810196870267543,4.202792576343187,1.0860121633362294,-4.125483455092393,-0.44822949350067237,-5.957122571260347,2.1618237395499578,1.4275414563806776,-2.4701450099516635,-4.176232644582924,-6.5982125879444755,-8.057817589576548,-1.8201142553474159,0.15336039693279205
RCONF051_qoq,0.7948442534908701,-44.233345512117886,-10.509936667394628,-5.442010859618083,-7.335957158526357,-13.758529452722462,4.8199580171160985,13.325117461295541,3.6294433494188816,-6.775103299009641,49.746728577458846,5.055203194738079,0.3801261124278878,-7.7563931212688235,13.711663849311762,11.19181107713218,0.28266931509988924,-7.126804555669828,-2.23935690263309,10.060412820943112,2.999923763055577,-6.002738610710188,7.610535847868026,7.7930630762476225,5.145611295906591,-3.3378526696365167,2.715068127170719,18.366550703904803,2.988518376091853,22.776977649757292,0.07168614502324369,15.214795840840514,-4.4370336875423915,-9.33538376609294,2.1810985952246336,6.820745280810403,8.505000597680997,-0.17993867396213944,3.5942242251448544,13.382695005238018,8.392320220496115,-12.989958823954344,5.2570403825717325,23.67092601356681,7.860195165508005,32.53899736272574,1.0261352178529681,2.337022283851936,6.897563585835484,38.24510128452515,-12.893843916626272,28.538192838130485,-1.1256233178242818,0.47478871902003605,4.182024383328608,19.7104166351683,-12.480792142565454,0.5248043408197723,9.95942156590646,-10.699287613527074,-1.3903170000730978,-4.228769668696134,-3.3834722258056193,8.664373684828934,-2.3822747356987333,-0.2678562437693214,2.152139013135974
RCONB549_qoq,409.2493297587131,-12.003158725980521,-7.837271911456775,0.12982797792924375,-68.13614262560777,-26.042726347914545,-5.777166437414031,45.54744525547445,6.519558676028084,1.694915254237288,-32.407407407407405,25.34246575342466,23.060109289617486,13.410301953818829,-36.883320281910734,131.7617866004963,-30.781584582441113,2.3975251353441607,19.108761329305135,-2.4096385542168677,5.133203378817414,0.1854140914709518,30.783466995681678,-0.33018867924528306,-7.714150496923805,-12.307692307692308,-12.80701754385965,42.052313883299796,-9.1123701605288,11.012987012987013,-18.951801591015442,63.39491916859122,2.614840989399293,-13.877410468319558,-10.95561775289884,74.98877413560844,-33.410315627405694,-2.9672447013487475,-25.019857029388405,58.89830508474576,-2.3666666666666667,-13.212700580402867,-21.557828481510622,273.62086258776327,127.27516778523488,304.0219702338767,12.792176468008595,5.607827890098497,16.66646213506449,43.03866705936803,-15.24296976114837,27.700076351773443,-2.922232338193529,2.322912073683695,11.630642954856361,5.9183598441214675,-5.004541168439747,12.284729496017343,5.600780974591209,-6.889149102263856,-3.46721971560635,-0.9433638836194089,1.018683556278517,7.7720739805969385,0.0074176901312931155,2.27812155632788,2.095808383233533
RIAD4618_qoq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,40.0,28.57142857142857,0.0,88.88888888888889,-100.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
RIAD4079_qoq,804.8929663608563,56.83297180043384,23.78976486860304,28.268156424581004,-80.26132404181185,86.49602824360106,34.926644581164226,10.347246580147317,-70.43865225683408,98.06451612903226,55.26601520086862,16.32867132867133,-70.00300571085062,40.981963927855716,48.756218905472636,33.77926421404682,-73.67857142857143,103.25644504748983,29.773030707610147,33.1275720164609,-77.6661514683153,99.65397923875432,47.053726169844026,24.21921037124337,-79.22201138519924,123.74429223744292,64.89795918367346,22.71039603960396,-76.04639435199194,93.47368421052632,45.37540805223069,38.02395209580838,-71.69197396963123,101.14942528735634,40.95238095238095,44.7972972972973,-69.94867008866076,87.5776397515528,49.420529801324506,35.6786703601108,-76.48019599836668,78.29861111111111,49.65920155793573,47.69030579050097,-64.53744493392071,108.81987577639751,38.54848304580607,12.49463288965221,-56.22137404580153,73.23452484742808,112.22949169602417,30.80388902063078,-67.02320522117476,77.95492028587135,42.2613531047266,25.580890336590663,-75.77381981670413,128.7651677373305,72.38689547581903,33.03167420814479,-61.224489795918366,89.82456140350877,34.80591497227357,31.303990127519537,-72.6608187134503,83.76623376623377,46.45603824568696
RCON0352_qoq,-23.672891907187324,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-68.75,-60.0,442450.0,11.648401310586374,6.354988868650071,8.163653663177927,6.896551724137931,8.681698485845951,4.300749602483531,15.80399274047187,10.255767301905717,10.933591084830566,8.482394546665983,20.07464802041009,8.71532559512099,6.0441549040897575,0.5460750853242321,6.3170400543109295,-99.97126528527185,0.0,-11.11111111111111,50.0,8.333333333333332,69.23076923076923,-27.27272727272727,37.5,45.45454545454545,0.0,-18.75,-3.8461538461538463,-12.0,4.545454545454546,8.695652173913043,-4.0,-100.0,0.0,0.0,0.0,0.0,0.0
RIAD4435_qoq,-50.0,87.5,53.333333333333336,39.130434782608695,-75.0,112.5,58.82352941176471,37.03703703703704,-70.27027027027027,100.0,59.09090909090909,34.285714285714285,-72.3404255319149,107.6923076923077,51.85185185185185,36.58536585365854,-71.42857142857143,112.5,70.58823529411765,44.827586206896555,-67.85714285714286,111.11111111111111,56.14035087719298,46.06741573033708,-67.6923076923077,78.57142857142857,58.666666666666664,37.81512605042017,-71.95121951219512,102.17391304347827,51.61290322580645,34.04255319148936,-73.54497354497354,104.0,50.98039215686274,35.064935064935064,-71.15384615384616,116.66666666666667,56.92307692307692,47.549019607843135,-69.43521594684385,102.17391304347827,55.91397849462365,36.206896551724135,-73.9240506329114,100.97087378640776,46.3768115942029,31.02310231023102,-75.31486146095719,112.24489795918366,61.057692307692314,41.19402985074627,-71.45877378435517,92.5925925925926,53.46153846153846,35.08771929824561,-72.17068645640074,98.66666666666667,49.664429530201346,38.789237668161434,-69.1437802907916,103.1413612565445,55.670103092783506,37.086092715231786,-72.82608695652173,101.77777777777777,52.20264317180616
